dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,abook,74,31,35,8,41.89,45.02,3331.3,-100.64
scanner,momentum,105,42,63,0,40.0,19.83,2082.62,-100.46
scanner,short,56,22,34,0,39.29,17.79,996.16,-100.63
scanner,intraday,60,8,11,41,13.33,13.27,796.44,-99.98
gap_tier,(none),74,31,35,8,41.89,45.02,3331.3,-100.64
gap_tier,EXTREME,29,16,12,1,55.17,65.8,1908.07,-100.46
gap_tier,IN_BAND,110,32,51,27,29.09,13.1,1440.77,-100.26
gap_tier,PARABOLIC,29,13,15,1,44.83,37.51,1087.68,-100.36
gap_tier,STRETCHED,53,11,30,12,20.75,-10.59,-561.3,-100.63
regime,FAVORABLE,294,102,143,49,34.69,23.83,7006.65,-100.64
regime,FAVOR,1,1,0,0,100.0,199.87,199.87,199.87
stop_method,FIXED,235,95,132,8,40.43,27.28,6410.08,-100.64
stop_method,PM low,32,5,3,24,15.62,26.84,859.03,-99.84
stop_method,fixed-%-fallback,1,1,0,0,100.0,199.89,199.89,199.89
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,recent 5-min high,1,0,1,0,0.0,-99.96,-99.96,-99.96
stop_method,recent 5-min low,3,0,3,0,0.0,-99.94,-299.83,-99.98
side,LONG,214,78,104,32,36.45,27.91,5973.12,-100.64
side,SHORT,81,25,39,17,30.86,15.23,1233.4,-100.63
setup,MOO,74,31,35,8,41.89,45.02,3331.3,-100.64
setup,MOO_GENESIS,105,42,63,0,40.0,19.83,2082.62,-100.46
setup,SHORT_GENESIS_9_33,56,22,34,0,39.29,17.79,996.16,-100.63
setup,HOLDING-LONG,24,5,2,17,20.83,39.32,943.78,-99.84
setup,FAILED-GAP-SHORT,21,3,3,15,14.29,20.95,439.96,-99.88
setup,ORB-SHORT,2,0,1,1,0.0,-49.92,-99.85,-99.96
setup,ORB-SHORT|FAILED-GAP-SHORT,2,0,1,1,0.0,-51.44,-102.87,-99.78
setup,ORB-LONG|HOLDING-LONG,6,0,2,4,0.0,-25.38,-152.27,-99.98
setup,ORB-LONG,5,0,2,3,0.0,-46.46,-232.31,-99.95
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,SINGLE,112,35,57,20,31.25,16.03,1795.08,-100.63
cohort,MID,167,58,86,23,34.73,22.04,3681.32,-100.01
cohort,PENNY,128,45,57,26,35.16,27.54,3525.2,-100.64
conviction_band,(none),295,103,143,49,34.92,24.43,7206.52,-100.64
