ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
NVDA,Long,PULLBACK,T2-LONG,21,180.3,178.23,203.97,6.6,3.606,196.51,8.2,WAITING,1,1,1d,180.3,178.23,HIGHWAY,20213763831.0,1.0,1.0,0.0,9.0,32.0,8.0,23321.92,MEGA,0.0,6077,12,3428,3.8,C,,,,
META,Long,PULLBACK,T1-STRONG_LONG,58,639.37,635.0,687.99,3.8,12.7874,662.49,3.5,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",639.37,635.0,HIGHWAY,9733586798.0,1.0,0.7,1.0,12.6,42.0,8.0,2183.92,MEGA,0.01,36994,6,16971,3.8,C,,,,
XOM,Short,RESISTANCE,T3-SHORT,95,165.77,169.66,147.61,4.7,3.89,149.24,11.1,WAITING,1,1,1d,169.66,165.77,HIGHWAY,8071965506.0,0.7,0.7,0.0,8.5,49.0,8.0,4158.14,MEGA,0.0,8157,4,1645,1.1,C,,,,
COST,Short,RESISTANCE,T3-SHORT,80,1029.0,1049.58,944.42,4.1,20.58,974.8,5.6,APPROACH,1,1,1h,1031.72,1029.0,HIGHWAY,39360032.0,1.3,1.3,0.0,7.2,18.0,8.0,440.92,MEGA,0.0,4541,2,1904,3.1,C,,,,
ORCL,Long,BREAKOUT,T2-LONG,100,164.62,155.91,182.04,2.0,8.71,163.0,0.0,INSIDE,6,6,,,,OPEN_ROAD,,,,,,,,,MEGA,0.03,2137,3,1975,4.4,B,False,2.5,True,
MU,Long,PULLBACK,T1-STRONG_LONG,91,434.51,426.49,504.83,8.1,8.6902,465.66,6.7,APPROACH,5,5,"15m,1d,1h,30m,4h",434.51,426.49,HIGHWAY,40818687755.0,1.0,0.8,0.0,16.9,39.0,8.0,1123.54,MEGA,0.03,29957,23,4165,99.9,A,,,,
CVX,Short,RESISTANCE,T2-SHORT,95,201.99,206.9,181.98,4.1,4.91,187.02,8.0,WAITING,1,1,1d,206.9,201.99,HIGHWAY,6966275594.0,0.9,0.8,0.0,6.5,37.0,8.0,1853.87,MEGA,0.0,7821,3,1197,2.7,C,,,,
ABBV,Short,RESISTANCE,T3-SHORT,95,213.99,218.2698,199.76,3.3,4.2798,210.26,1.8,CLOSE,1,1,1d,214.98,213.99,HIGHWAY,287340867.0,1.1,1.0,0.0,5.5,6.0,8.0,1765.06,MEGA,0.0,456,2,158,5.0,C,,,,
AMD,Long,PULLBACK,T1-STRONG_LONG,55,238.95,237.1,273.04,7.1,4.779,255.07,6.3,APPROACH,2,2,"1d,4h",238.95,237.1,HIGHWAY,6538209320.0,0.8,0.8,0.0,12.5,32.0,8.0,1621.48,MEGA,0.01,12568,14,4694,99.9,A,,,,
BAC,Long,PULLBACK,T2-LONG,31,51.37,50.48,56.69,5.2,1.0274,53.35,3.7,APPROACH,1,1,1d,51.37,50.48,HIGHWAY,2257480105.0,1.0,0.8,0.0,4.3,21.0,8.0,7149.2,MEGA,0.0,1148,6,205,6.3,B,,,,
