ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
VRAX,Long,T2-LONG,67,PULLBACK,0.2004,0.1659,0.29,0.1716,0.193,0.1649,2378818.0,-14.37,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
VRAX,Long,T3-LONG_WATCH,50,FRESH_HOLD,0.2148,0.2126,0.29,0.1716,0.193,0.1649,2378818.0,-20.11,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
GV,Short,T3-SHORT,80,RESISTANCE,0.2681,0.2694,0.2324,0.2339,0.2468,0.2,2843459.0,12.76,TARGET_HIT,27.46,2026-04-01_0745,2026-04-01_0509
BFRG,Short,T3-SHORT,80,RESISTANCE,1.81,1.817,1.67,1.5,1.52,1.36,5902500.0,17.13,TARGET_HIT,20.0,2026-04-01_0745,2026-04-01_0509
BFRG,Long,T3-LONG_WATCH,66-FRESH_HOLD,1.67,1.666,1.81,1.5,1.52,1.36,5902500.0,-10.18,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
MGN,Short,T3-SHORT,80,RESISTANCE,0.1777,0.1788,0.1699,0.156,0.1732,0.1484,2323183.0,12.21,TARGET_HIT,7.09,2026-04-01_0745,2026-04-01_0509
MGN,Long,T3-LONG_WATCH,59,PULLBACK,0.167,0.1651,0.1777,0.1552,0.1732,0.1484,2323763.0,-7.07,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
ELAB(Short,T2-SHORT,80,RESISTANCE,6.72,6.84,5.7,7.475,7.75,6.5589,5592910.0,-11.24,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
ELAB,Long,T3-LONG_WATCH,56,PULLBACK,5.7,5.6801,6.72,7.475,7.75,6.5589,5592910.0,31.14,TARGET_HIT,51.26,2026-04-01_0745,2026-04-01_0509
AIIO,Short,T5-SHORT,28,RESISTANCE,0.12,0.1203,0.1048,0.0863,0.0889,0.0795,1673128.0,28.08,TARGET_HIT,50.67,2026-04-01_0745,2026-04-01_0509
OXBR,Short,T3-SHORT,80,RESISTANCE,1.2,1.2029,1.045,1.0379,1.16,0.99,320125.0,13.51,TARGET_HIT,53.45,2026-04-01_0745,2026-04-01_0509
PTON,Long,T1-STRONG_LONG,98,PULLBACK,4.04,4.02,4.37,4.4,4.48,4.32,3089007.0,8.91,TARGET_HIT,16.5,2026-04-01_0745,2026-04-01_0509
PTON,Short,T2-SHORT,80,RESISTANCE,4.37,4.38,4.04,4.4,4.48,4.32,3089007.0,-0.69,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
SPCE,Short,T3-SHORT,80,RESISTANCE,2.5,2.51,2.42,2.47,2.58,2.39,2108648.0,1.2,STOPPED,-1.0,2026-04-01_0745,2026-04-01_0509
BUR,Long,T1-STRONG_LONG,100,PULLBACK,4.09,4.03,4.81,4.49,4.77,4.32,1897930.0,9.78,WINNING,6.67,2026-04-01_0745,2026-04-01_0509
BUR,Short,T3-SHORT,80,RESISTANCE,4.81,4.83,4.09,4.49,4.77,4.32,1897930.0,6.65,WINNING,16.0,2026-04-01_0745,2026-04-01_0509
PGEN,Short,T3-SHORT,80,RESISTANCE,4.31,4.38,3.73,3.9,4.025,3.78,648665.0,9.51,WINNING,5.86,2026-04-01_0745,2026-04-01_0509
