ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts
AMZN,41.9,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,34.9,34.9,69.8
PINS,29.0,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,24.1,24.1,48.3
INTC,25.8,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,21.5,21.5,42.9
TEAM,17.7,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,14.8,14.8,29.5
STX,17.7,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,14.8,14.8,29.5
VRNS,17.7,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,14.8,14.8,29.5
AXSM,17.7,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,14.8,14.8,29.5
WDC,16.1,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,13.4,13.4,26.8
DDOG,15.2,2,Momentum#3;Analyst#5;Analyst#5;Analyst#5,"LONG,NA",LONG,70.0,3,4.5,9.2,4.0,13.2
PLTR,14.5,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,12.1,12.1,24.1
SNDK,14.5,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,12.1,12.1,24.1
KVYO,12.9,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,10.7,10.7,21.5
DOCN,12.9,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,10.7,10.7,21.5
LSCC,12.9,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,10.7,10.7,21.5
IOVA,12.6,1,Short#1,SHORT,SHORT,100.0,1,1.0,0.0,9.0,9.0
APP,12.4,3,Short#4;Analyst#5;Analyst#5;Analyst#5;Momentum#7,"LONG,NA,SHORT",SHORT,53.0,4,5.2,7.4,8.5,16.0
FIVN,11.3,1,Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,9.4,9.4,18.8
