ticker,side,tier,fem,l1,l2,l3,l6,entry,stop,t1,rr,last_close,dist_pct,proximity,genesis,tick_width,creation_vol,path,range,session,isolation,float_genesis,gap_tf,macro,total_gaps,n_timeframes,shares_out
RRGB,Short,T1-CONVICTION,63,73,70,52,40,2.66,2.67,2.64,2.0,2.65,0.4,CLOSE,MINOR,1,45906,HIGHWAY,NEAR_EDGE,MIXED,CLUSTERED,LIGHT (0.30% float),15m,BEARISH,106,9,15270000
EU,Short,T1-CONVICTION,58,64,63,42,53,1.835,1.8399,1.785,10.2,1.79,2.5,CLOSE,MINOR,0,49618,OPEN_ROAD,NEAR_EDGE,MIXED,CLUSTERED,LIGHT (0.03% float),1m,BEARISH,48,9,182620000
IXHL,Short,T1-CONVICTION,49,58,15,62,65,3.25,3.26,3.23,2.0,3.24,0.3,CLOSE,MINOR,1,15109,MIXED,NEAR_EDGE,NEUTRAL,CLUSTERED,LIGHT (0.13% float),10m,BEARISH,61,9,11970000
SXTP,Short,T1-CONVICTION,34,40,8,42,53,1.525,1.54,1.485,2.7,1.5,1.7,CLOSE,MINOR,2,500,MIXED,NEAR_EDGE,MIXED,CLUSTERED,LIGHT (0.02% float),1m,BEARISH,82,9,2400000
GVH,Short,T2-STRONG,78,63,100,82,75,1.42,1.425,1.26,32.0,1.4,1.4,CLOSE,MINOR,1,471357,HIGHWAY,EDGE,ALIGNED,CLUSTERED,MEGA (23% float),30m,BEARISH,73,9,2060000
PFN,Short,T2-STRONG,68,95,78,20,40,6.8,6.83,6.71,3.0,6.57,3.5,APPROACH,COMPRESSION,3,435382,HIGHWAY,OPEN_BELOW,MIXED,CLUSTERED,LIGHT (0.45% float),4h,NEUTRAL,17,9,97630000
BTQ,Short,T2-STRONG,63,64,70,70,40,2.22,2.23,2.13,9.0,2.15,3.3,APPROACH,MINOR,1,30714,HIGHWAY,EDGE,MIXED,CLUSTERED,LIGHT (0.03% float),1m,BEARISH,80,9,95440000
JTAI,Short,T2-STRONG,59,46,84,70,40,0.0862,0.0871,0.0785,8.6,0.0789,9.3,WAITING,MINOR,0,100,HIGHWAY,EDGE,MIXED,CLUSTERED,LIGHT (0.00% float),1m,BEARISH,52,9,108740000
HDSN,Short,T2-STRONG,58,70,78,20,40,6.02,6.04,5.96,3.0,5.76,4.5,APPROACH,MINOR,2,200,HIGHWAY,OPEN_BELOW,MIXED,CLUSTERED,LIGHT (0.00% float),1m,BEARISH,33,9,37320000
VERI,Short,T2-STRONG,57,48,78,62,40,1.8601,1.865,1.835,5.1,1.84,1.1,CLOSE,MINOR,0,84364,HIGHWAY,EDGE,MIXED,CLUSTERED,LIGHT (0.11% float),5m,BEARISH,35,9,79870000
ORBS,Short,T2-STRONG,55,40,84,62,40,1.045,1.0499,0.9698,15.3,1.01,3.5,APPROACH,MINOR,0,818841,HIGHWAY,EDGE,MIXED,CLUSTERED,LIGHT (0.62% float),15m,BEARISH,60,9,132650000
AMPG,Short,T2-STRONG,54,40,78,62,40,1.8201,1.8269,1.7797,5.9,1.8,1.1,CLOSE,MINOR,1,5422,HIGHWAY,EDGE,MIXED,CLUSTERED,LIGHT (0.03% float),5m,BEARISH,54,9,21670000
LX,Short,T2-STRONG,53,64,70,20,40,2.33,2.335,2.315,3.0,2.07,12.6,WAITING,MINOR,0,1500,HIGHWAY,OPEN_BELOW,MIXED,CLUSTERED,LIGHT (0.00% float),1m,BEARISH,57,9,132590000
ONCO,Short,T2-STRONG,51,45,78,20,65,2.09,2.11,2.03,3.0,1.94,7.7,WAITING,COMPRESSION,2,8025736,HIGHWAY,OPEN_BELOW,NEUTRAL,CLUSTERED,MEGA (1384% float),4h,BEARISH,31,9,580000
IZM,Short,T3-WATCH,86,74,100,100,75,0.9,0.93,0.6331,8.9,0.8795,2.3,CLOSE,MINOR,3,46203,HIGHWAY,EDGE,ALIGNED,MILKY_WAY,LIGHT (0.59% float),1d,BEARISH,74,9,7770000
SOFI,Short,T3-WATCH,81,90,100,70,40,15.69,15.8,14.01,15.3,15.23,3.0,APPROACH,COMPRESSION,11,49678842,HIGHWAY,EDGE,MIXED,MILKY_WAY,MODERATE (4.0% float),1d,BEARISH,22,9,1250000000
FUBO,Short,T3-WATCH,73,90,92,20,65,10.57,10.85,9.73,3.0,9.28,13.9,WAITING,COMPRESSION,28,4025437,HIGHWAY,OPEN_BELOW,NEUTRAL,MILKY_WAY,MEGA (14% float),1d,BEARISH,46,9,28680000
PSKY,Short,T3-WATCH,69,95,85,20,40,9.62,9.72,9.32,3.0,8.79,9.4,WAITING,COMPRESSION,10,13799548,HIGHWAY,OPEN_BELOW,MIXED,MILKY_WAY,MODERATE (1.6% float),1d,BEARISH,32,9,858740000
AAL,Short,T3-WATCH,67,74,85,52,40,10.51,10.67,10.01,3.1,10.3,2.0,CLOSE,MINOR,16,11408902,HIGHWAY,NEAR_EDGE,MIXED,MILKY_WAY,MODERATE (1.8% float),4h,NEUTRAL,42,9,648500000
LMRI,Short,T3-WATCH,66,86,78,20,53,8.06,8.1,7.94,3.0,7.79,3.5,APPROACH,COMPRESSION,4,683276,HIGHWAY,OPEN_BELOW,MIXED,SEMI_ISOLATED,MODERATE (2.9% float),1h,BEARISH,41,9,23800000
CRDL,Short,T3-WATCH,65,45,92,78,53,1.46,1.48,1.16,15.0,1.25,16.8,WAITING,COMPRESSION,2,779209,HIGHWAY,EDGE,MIXED,MILKY_WAY,LIGHT (0.73% float),1d,NEUTRAL,49,9,106900000
HCWC,Short,T3-WATCH,64,70,78,52,40,0.2495,0.2523,0.2431,2.3,0.248,0.6,CLOSE,COMPRESSION,0,328297,HIGHWAY,NEAR_EDGE,MIXED,SEMI_ISOLATED,,1h,BEARISH,44,9,0
BURU,Short,T3-WATCH,58,66,78,30,40,0.1755,0.1763,0.1729,3.2,0.1747,0.5,CLOSE,MINOR,0,3269156,HIGHWAY,NEAR_EDGE,MIXED,SEMI_ISOLATED,MODERATE (3.1% float),15m,BEARISH,55,9,104030000
GCTK,Short,T3-WATCH,55,60,70,20,65,1.065,1.07,1.05,3.0,0.9902,7.6,WAITING,COMPRESSION,1,6608790,HIGHWAY,OPEN_BELOW,NEUTRAL,SEMI_ISOLATED,MEGA (703% float),4h,BEARISH,26,9,940000
LTRN,Short,T3-WATCH,55,45,92,20,65,1.13,1.1499,1.0703,3.0,1.12,0.9,CLOSE,COMPRESSION,2,73371,HIGHWAY,OPEN_BELOW,NEUTRAL,MILKY_WAY,LIGHT (0.84% float),5m,BEARISH,84,9,8700000
DBI,Short,T3-WATCH,54,45,92,37,40,5.54,5.65,5.24,2.7,5.44,1.8,CLOSE,COMPRESSION,11,308669,HIGHWAY,NEAR_EDGE,MIXED,MILKY_WAY,LIGHT (0.89% float),4h,BEARISH,37,9,34640000
VOR,Short,T3-WATCH,52,62,8,70,75,15.72,15.77,14.35,27.4,14.48,8.6,WAITING,MINOR,5,7004,MIXED,EDGE,ALIGNED,CLUSTERED,LIGHT (0.02% float),5m,NEUTRAL,49,9,31100000
MODD,Short,T5-LOW,77,95,77,70,40,0.165,0.174,0.143,2.4,0.1569,5.2,APPROACH,COMPRESSION,1,2559229,OPEN_ROAD,EDGE,MIXED,SEMI_ISOLATED,MODERATE (1.9% float),1d,BEARISH,50,9,132850000
