ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
BFRG,Short,RESISTANCE,T3-SHORT,80,1.11,1.115,0.9901,24.0,0.005,1.05,5.7,APPROACH,1,1,1m,1.115,1.11,HIGHWAY,0,19.9,6.6,1,216.0,22,8,
ELAB,Short,RESISTANCE,T5-SHORT,10,4.0,4.01,3.5,50.0,0.01,3.56,12.4,WAITING,1,1,1m,4.01,4.0,MIXED,895462,18.3,6.1,1,201.2,57,8,
ASTC,Long,PULLBACK,T2-LONG,86,4.25,4.16,4.71,5.1,0.09,4.65,8.6,WAITING,3,2,"10m,1m",4.25,4.16,HIGHWAY,1151754,20.0,6.7,1,239.3,36,8,
ASTC,Short,RESISTANCE,T3-SHORT,80,4.71,4.73,4.25,23.0,0.02,4.65,1.3,CLOSE,1,1,1m,4.73,4.71,HIGHWAY,170806,20.0,6.7,1,239.3,36,8,
RZLV,Short,RESISTANCE,T5-SHORT,18,2.6,2.6089,2.48,13.5,0.0089,2.52,3.2,APPROACH,1,1,1m,2.6089,2.6,MIXED,70711,4.2,2.0,1,27.2,26,8,
GV,Long,PULLBACK,T2-LONG,72,0.2168,0.196,0.2796,3.0,0.0208,0.2269,4.5,APPROACH,2,2,"1d,4h",0.2168,0.196,OPEN_ROAD,34539697,6.9,2.5,2,131.5,49,8,
GV,Long,FRESH_HOLD,T3-LONG_WATCH,64,0.224,0.2215,0.2796,22.2,0.0025,0.2269,1.3,CLOSE,1,1,1m,0.224,0.2215,HIGHWAY,0,6.9,2.5,2,131.5,49,8,
DRIP,Short,RESISTANCE,T3-SHORT,80,4.1,4.14,3.94,4.0,0.04,3.98,3.0,APPROACH,1,1,1d,4.14,4.1,HIGHWAY,169574992,1.5,0.9,0,17.2,58,8,
IQ,Long,FRESH_HOLD,T3-LONG_WATCH,64,1.28,1.25,1.405,4.2,0.03,1.285,0.4,CLOSE,6,6,"10m,15m,1d,1m,30m,5m",1.28,1.25,OPEN_ROAD,22460243,0.0,1.2,1,16.8,46,8,
IQ,Short,RESISTANCE,T5-SHORT,46,1.405,1.41,1.28,25.0,0.005,1.285,9.3,WAITING,1,1,5m,1.41,1.405,OPEN_ROAD,0,0.0,1.2,1,16.8,46,8,
