ticker,is_alumnus,chg_pct_full,chg_pct_intraday,open,close,high,low,volume,is_mover,picked,in_abook,in_momentum,in_recovery,in_short,which_panels,verdict
ATER,false,81.7,9.02,1.095,1.1938,1.51,0.9772,216563750,true,false,false,false,false,false,,MISSED
HTCO,false,-78.99,-74.09,31.0,8.031,34.7899,6.5,2906491,true,false,false,false,false,false,,MISSED
ERAS,false,-46.74,-2.99,10.514,10.1998,10.59,8.7,41737288,true,false,false,false,false,false,,MISSED
GLND,false,-39.93,-1.37,3.295,3.25,3.44,3.15,9751120,true,false,false,false,false,false,,MISSED
YAAS,false,-37.93,-12.73,1.65,1.44,1.68,1.255,3443214,true,false,false,false,false,false,,MISSED
CHSN,false,-31.11,-15.26,0.0439,0.0372,0.0452,0.0365,119353427,true,false,false,false,false,false,,MISSED
SEGG,false,30.62,15.09,1.06,1.22,1.28,0.96,35421873,true,false,false,false,false,false,,MISSED
CUE,false,-24.89,-21.71,17.2,13.4666,17.2,10.7601,638867,true,false,false,false,false,false,,MISSED
EDSA,false,22.2,26.86,10.76,13.65,15.4999,10.01,3542765,true,false,false,false,false,false,,MISSED
DRCT,false,18.57,-1.86,2.96,2.905,3.3,2.55,9094155,true,false,false,false,false,false,,MISSED
FCHL,false,-18.52,-17.54,0.167,0.1377,0.168,0.1339,9307875,true,false,false,false,false,false,,MISSED
OMCL,false,18.38,-1.3,45.13,44.545,46.89,43.07,1484963,true,false,false,false,false,false,,MISSED
ASBP,false,-17.59,-10.19,0.2248,0.2019,0.2254,0.2,14215392,true,false,false,false,false,false,,MISSED
CTNT,false,-16.79,-21.02,0.0295,0.0233,0.0297,0.0225,265371313,true,false,false,false,false,false,,MISSED
NVTS,false,-16.78,-11.31,17.172,15.23,17.22,14.835,28764173,true,false,false,false,false,false,,MISSED
OCG,true,-16.16,-12.17,1.89,1.66,1.9247,1.505,295148,true,false,false,false,false,false,,MISSED
CLS,false,-15.66,-0.12,356.505,356.09,392.6999,350.01,4470929,true,false,false,false,false,false,,MISSED
TRT,true,-15.61,-6.47,12.75,11.9249,13.93,11.5051,813295,true,false,false,false,false,false,,MISSED
SKYQ,false,15.05,1.13,6.2001,6.27,6.51,4.9502,12235543,true,false,false,false,false,false,,MISSED
NEXR,false,14.75,-31.39,3.345,2.295,3.3999,2.16,41519115,true,false,false,false,false,false,,MISSED
RMAX,true,14.29,12.25,10.12,11.36,11.425,10.12,3649540,true,false,false,false,false,false,,MISSED
