ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
WSC,BOUNCED_CLEAN,0,2,86.5,5,1.0,False,3.3,1d,20,249,False,3m,36,False,2169,920,2629.0,10,2,1d.48t | 1d.38t~ | 1d.36t,2026-05-07T18:15:00.000000000,25.24,2026-05-08T07:15:00.000000000,27.035,26.64,23.1935,,0,0,False,0.88,2872893,0,12
MNKD,BOUNCED_WAITING,0,0,67.2,2,-1.7,False,4.9,1d,20,23,True,1d,51,True,1300,528,1564.0,42,11,1d.23t~ | 1d.18t | 1d.7t,2026-05-06T09:30:00.000000000,4.075,2026-05-06T16:30:00.000000000,3.345,4.13,2.8842,1.7,5,0,False,0.68,5610174,0,53
CENX,BOUNCED_WAITING,0,2,53.6,7,1.0,False,3.1,15m,5,62,True,1h,30,True,1709,4615,4016.5,14,25,1d.118t | 1d.16t | 4h.90t,2026-05-07T09:30:00.000000000,62.49,2026-05-08T11:15:00.000000000,60.05,63.27,57.2852,1.16,17,0,False,0.52,1105178,0,39
HNRG,BOUNCED_WAITING,0,2,51.0,5,1.5,False,4.0,15m,5,34,False,3m,95,False,1745,2654,3072.0,17,23,1d.54t | 1d.51t | 1d.34t,2026-05-06T18:30:00.000000000,22.4999,2026-05-07T14:30:00.000000000,19.12,22.64,17.8842,2.85,24,0,False,0.51,1064531,0,40
HNRG,BOUNCED_WAITING,0,2,51.0,5,1.5,False,4.0,15m,5,120,True,3m,95,False,1745,2654,3072.0,17,23,1d.54t | 1d.51t | 1d.34t,2026-05-07T07:15:00.000000000,21.51,2026-05-07T14:30:00.000000000,19.12,21.66,17.8842,2.06,5,0,False,0.51,1064531,0,40
GCT,BOUNCED_WAITING,0,1,57.2,4,-0.8,False,3.2,15m,5,126,True,1d,573,False,2239,2263,3370.5,29,28,1d.133t | 1d.113t | 1d.90t,2026-04-20T09:15:00.000000000,50.0,2026-05-08T09:45:00.000000000,40.1256,50.53,35.2893,2.15,40,0,False,0.57,718902,0,57
VCX,BOUNCED_CLEAN,0,4,169.1,5,2.2,False,3.9,1d,20,7316,True,1m,101,False,15298,5140,17868.0,6,2,4h.269t | 4h.257t~ | 1h.800t,2026-05-07T08:00:00.000000000,180.51,2026-05-07T17:00:00.000000000,254.8,188.84,141.706,,0,0,False,1.8,345523,0,8
HUBS,BOUNCED_CLEAN,0,2,103.8,4,-0.9,False,3.2,1d,20,4233,True,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-08T05:00:00.000000000,197.0,2026-05-08T10:00:00.000000000,189.88,198.09,187.7388,3.83,0,0,False,1.04,1536127,0,89
WGS,BOUNCED_CLEAN,0,2,61.2,4,1.0,False,5.0,1d,20,2766,True,1m,9,False,97293,12807,103696.5,99,19,1d.229t | 1d.188t | 1d.181t,2026-05-05T08:45:00.000000000,37.21,2026-05-06T14:45:00.000000000,39.24,37.46,33.6675,,0,0,False,0.62,1562119,0,118
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,1d,20,1890,True,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-05-11T09:30:00.000000000,746.5,2026-05-11T10:00:00.000000000,740.19,823.2,713.5101,3.11,2,0,False,2.1,97256,0,123
FSLY,BOUNCED_CLEAN,0,0,99.0,1,-2.9,False,3.8,1d,20,693,True,1m,7,False,591,14304,7743.0,27,31,1d.693t~ | 1d.48t~ | 1d.23t~,2026-05-07T09:00:00.000000000,22.81,2026-05-07T19:30:00.000000000,19.09,22.89,19.0418,78.9,0,0,False,0.97,11765358,0,58
RDNT,BOUNCED_CLEAN,0,2,197.6,2,-3.7,False,3.2,1h,8,53,False,3m,109,True,34204,3712,36060.0,45,4,1d.177t | 1d.136t | 1d.107t,2026-04-16T11:00:00.000000000,63.175,2026-05-08T09:30:00.000000000,57.855,64.0,55.9678,3.26,0,0,False,2.15,719205,0,49
PGY,BOUNCED_WAITING,0,1,66.1,5,-0.2,False,3.2,1d,20,69,True,3m,15,True,23402,6164,26484.0,69,16,1d.192t~ | 1d.108t | 1d.107t,2026-05-07T09:45:00.000000000,16.08,2026-05-08T10:00:00.000000000,14.78,16.44,14.3712,4.06,9,0,False,0.66,3718825,0,85
TSSI,BOUNCED_WAITING,0,1,109.0,2,-4.6,False,3.4,1d,20,75,False,1d,323,False,17700,6966,21183.0,46,9,1d.446t | 1d.328t~ | 1d.94t,2026-05-06T11:00:00.000000000,16.9199,2026-05-08T04:00:00.000000000,11.65,17.85,9.1916,2.52,42,0,False,1.06,1742527,0,55
PVLA,BOUNCED_WAITING,0,1,63.3,4,-0.9,False,4.1,1d,20,309,False,1h,492,True,20346,13144,26918.0,35,10,1d.309t | 1d.131t~ | 1d.130t,2026-04-13T09:45:00.000000000,130.51,2026-05-07T10:15:00.000000000,120.72,136.6,110.4387,1.54,19,0,False,0.63,163567,0,45
OFRM,BOUNCED_CLEAN,0,1,54.0,4,0.3,False,3.2,1h,8,24,False,1m,7,False,8937,0,8937.0,75,0,1d.51t | 1d.21t | 1d.19t,2026-04-14T08:30:00.000000000,16.0,2026-05-08T09:45:00.000000000,15.36,16.76,14.481,1.59,0,0,False,0.52,383528,0,75
NTRA,BOUNCED_WAITING,0,0,97.3,2,-1.6,False,3.1,1d,20,208,False,5m,397,True,46844,3076,48382.0,39,9,1d.787t | 1d.550t | 1d.252t~,2026-05-07T10:45:00.000000000,218.06,2026-05-08T12:00:00.000000000,197.855,231.05,189.6499,4.05,26,0,False,0.99,1303047,0,48
CTNT,BOUNCED_WAITING,0,0,9.4,2,-0.9,False,3.2,1d,20,23,True,1d,5,True,76352,9438,81071.0,121,30,1d.1200t~ | 1d.1000t | 1d.1000t,2026-04-30T14:15:00.000000000,3.55,2026-05-08T08:00:00.000000000,2.69,4.21,2.5549,11.25,4,0,False,0.09,2223869,0,151
VERX,BOUNCED_CLEAN,0,0,64.8,3,0.1,False,4.2,4h,12,61,False,1m,46,False,22685,0,22685.0,59,0,1d.500t | 1d.124t | 1d.71t,2026-05-07T09:15:00.000000000,14.1,2026-05-07T10:00:00.000000000,13.915,14.64,13.483,1.68,0,0,False,0.64,1055952,0,59
TPB,BOUNCED_CLEAN,0,1,65.7,5,-0.1,False,3.1,15m,5,278,True,1m,25,False,65804,0,65804.0,31,0,1d.1788t | 1d.110t | 1d.94t,2026-05-08T09:30:00.000000000,94.89,2026-05-08T10:45:00.000000000,95.225,95.05,91.0999,,0,0,False,0.66,411360,0,31
OFRM,BOUNCED_CLEAN,0,1,54.0,4,0.3,False,3.2,15m,5,37,False,1m,7,False,8937,0,8937.0,75,0,1d.51t | 1d.21t | 1d.19t,2026-04-20T10:00:00.000000000,16.01,2026-05-08T09:45:00.000000000,15.36,16.5,14.481,1.3,0,0,False,0.52,383528,0,75
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,221,False,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-04-21T10:45:00.000000000,1071.2,2026-05-11T10:00:00.000000000,740.19,1085.29,713.5101,12.93,98,0,False,2.1,97256,0,123
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,232,False,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-04-24T15:00:00.000000000,1044.08,2026-05-11T10:00:00.000000000,740.19,1049.475,713.5101,11.59,92,0,False,2.1,97256,0,123
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,690,False,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-04-27T09:45:00.000000000,1014.33,2026-05-11T10:00:00.000000000,740.19,1033.0,713.5101,10.97,82,0,False,2.1,97256,0,123
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,933,True,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-05-06T09:45:00.000000000,1007.24,2026-05-11T10:00:00.000000000,740.19,1029.671,713.5101,10.85,80,0,False,2.1,97256,0,123
